url,bounds,start_date,end_date
https://upload.wikimedia.org/wikipedia/commons/b/bd/UK-MOD-Ukraine-2022-08-09.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-08-06,2022-08-09
https://upload.wikimedia.org/wikipedia/commons/4/4c/UK-MOD-Ukraine-2022-08-10.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-08-10,2022-08-10
https://upload.wikimedia.org/wikipedia/commons/8/83/UK-MOD-Ukraine-2022-08-11.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-08-11,2022-08-11
https://upload.wikimedia.org/wikipedia/commons/f/fe/UK-MOD-Ukraine-2022-08-12.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-08-12,2022-08-12
https://upload.wikimedia.org/wikipedia/commons/c/c9/UK-MOD-Ukraine-2022-08-15.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-08-13,2022-08-15
https://upload.wikimedia.org/wikipedia/commons/3/38/UK-MOD-Ukraine-2022-08-16.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-08-16,2022-08-16
https://upload.wikimedia.org/wikipedia/commons/7/73/UK-MOD-Ukraine-2022-08-17.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-08-17,2022-08-17
https://upload.wikimedia.org/wikipedia/commons/9/9e/UK-MOD-Ukraine-2022-08-18.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-08-18,2022-08-18
https://upload.wikimedia.org/wikipedia/commons/7/7c/UK-MOD-Ukraine-2022-08-22.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-08-19,2022-08-22
https://upload.wikimedia.org/wikipedia/commons/8/8d/UK-MOD-Ukraine-2022-08-23.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-08-23,2022-08-23
https://upload.wikimedia.org/wikipedia/commons/f/ff/UK-MOD-Ukraine-2022-08-24.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-08-24,2022-08-24
https://upload.wikimedia.org/wikipedia/commons/f/f4/UK-MOD-Ukraine-2022-08-25.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-08-25,2022-08-25
https://upload.wikimedia.org/wikipedia/commons/4/4a/UK-MOD-Ukraine-2022-08-26.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-08-26,2022-08-26
https://upload.wikimedia.org/wikipedia/commons/e/e7/UK-MOD-Ukraine-2022-08-30.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-08-27,2022-08-30
https://upload.wikimedia.org/wikipedia/commons/6/6d/UK-MOD-Ukraine-2022-08-31.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-08-31,2022-08-31
https://upload.wikimedia.org/wikipedia/commons/6/6c/UK-MOD-Ukraine-2022-09-01.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-09-01,2022-09-01
https://upload.wikimedia.org/wikipedia/commons/5/5c/UK-MOD-Ukraine-2022-09-02.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-09-02,2022-09-02
https://upload.wikimedia.org/wikipedia/commons/f/f4/UK-MOD-Ukraine-2022-09-05.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-09-03,2022-09-05
https://upload.wikimedia.org/wikipedia/commons/5/55/UK-MOD-Ukraine-2022-09-06.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-09-06,2022-09-06
https://upload.wikimedia.org/wikipedia/commons/2/2e/UK-MOD-Ukraine-2022-09-07.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-09-07,2022-09-07
https://upload.wikimedia.org/wikipedia/commons/6/62/UK-MOD-Ukraine-2022-09-08.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-09-08,2022-09-08
https://upload.wikimedia.org/wikipedia/commons/b/ba/UK-MOD-Ukraine-2022-09-22.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-09-09,2022-09-22
https://upload.wikimedia.org/wikipedia/commons/4/48/UK-MOD-Ukraine-2022-09-23.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-09-23,2022-09-23
https://upload.wikimedia.org/wikipedia/commons/f/f1/UK-MOD-Ukraine-2022-09-26.jpg,"[[52.6, 20.86], [44.15, 42.60]]",2022-09-24,2022-09-26
